year,prefecture,population
2018,北海道,5293000
2018,青森県,1268000
2018,岩手県,1240000
2018,宮城県,2320000
2018,秋田県,985000
2018,山形県,1092000
2018,福島県,1869000
2018,茨城県,2892000
2018,栃木県,1953000
2018,群馬県,1957000
2018,埼玉県,7325000
2018,千葉県,6273000
2018,東京都,13887000
2018,神奈川県,9197000
2018,新潟県,2246000
2018,富山県,1050000
2018,石川県,1145000
2018,福井県,777000
2018,山梨県,821000
2018,長野県,2073000
2018,岐阜県,2001000
2018,静岡県,3667000
2018,愛知県,7541000
2018,三重県,1793000
2018,滋賀県,1414000
2018,京都府,2598000
2018,大阪府,8838000
2018,兵庫県,5501000
2018,奈良県,1341000
2018,和歌山県,940000
2018,鳥取県,562000
2018,島根県,682000
2018,岡山県,1904000
2018,広島県,2824000
2018,山口県,1369000
2018,徳島県,736000
2018,香川県,963000
2018,愛媛県,1357000
2018,高知県,707000
2018,福岡県,5131000
2018,佐賀県,821000
2018,長崎県,1341000
2018,熊本県,1759000
2018,大分県,1143000
2018,宮崎県,1084000
2018,鹿児島県,1614000
2018,沖縄県,1454000
2017,北海道,5325000
2017,青森県,1282000
2017,岩手県,1254000
2017,宮城県,2326000
2017,秋田県,999000
2017,山形県,1103000
2017,福島県,1886000
2017,茨城県,2902000
2017,栃木県,1962000
2017,群馬県,1963000
2017,埼玉県,7307000
2017,千葉県,6258000
2017,東京都,13768000
2017,神奈川県,9173000
2017,新潟県,2267000
2017,富山県,1056000
2017,石川県,1148000
2017,福井県,780000
2017,山梨県,826000
2017,長野県,2082000
2017,岐阜県,2012000
2017,静岡県,3681000
2017,愛知県,7528000
2017,三重県,1801000
2017,滋賀県,1414000
2017,京都府,2604000
2017,大阪府,8841000
2017,兵庫県,5515000
2017,奈良県,1349000
2017,和歌山県,948000
2017,鳥取県,566000
2017,島根県,687000
2017,岡山県,1911000
2017,広島県,2833000
2017,山口県,1382000
2017,徳島県,744000
2017,香川県,968000
2017,愛媛県,1368000
2017,高知県,714000
2017,福岡県,5123000
2017,佐賀県,825000
2017,長崎県,1355000
2017,熊本県,1767000
2017,大分県,1152000
2017,宮崎県,1091000
2017,鹿児島県,1626000
2017,沖縄県,1448000
2016,北海道,5355000
2016,青森県,1295000
2016,岩手県,1268000
2016,宮城県,2332000
2016,秋田県,1011000
2016,山形県,1114000
2016,福島県,1903000
2016,茨城県,2910000
2016,栃木県,1969000
2016,群馬県,1969000
2016,埼玉県,7288000
2016,千葉県,6242000
2016,東京都,13646000
2016,神奈川県,9152000
2016,新潟県,2286000
2016,富山県,1061000
2016,石川県,1151000
2016,福井県,783000
2016,山梨県,831000
2016,長野県,2091000
2016,岐阜県,2024000
2016,静岡県,3690000
2016,愛知県,7509000
2016,三重県,1809000
2016,滋賀県,1414000
2016,京都府,2608000
2016,大阪府,8841000
2016,兵庫県,5526000
2016,奈良県,1357000
2016,和歌山県,956000
2016,鳥取県,570000
2016,島根県,691000
2016,岡山県,1917000
2016,広島県,2840000
2016,山口県,1394000
2016,徳島県,750000
2016,香川県,973000
2016,愛媛県,1377000
2016,高知県,721000
2016,福岡県,5113000
2016,佐賀県,829000
2016,長崎県,1367000
