year,prefecture,number_of_stores
2018,北海道,2981
2018,青森県,593
2018,岩手県,554
2018,宮城県,1187
2018,秋田県,479
2018,山形県,453
2018,福島県,878
2018,茨城県,1462
2018,栃木県,933
2018,群馬県,976
2018,埼玉県,3054
2018,千葉県,2868
2018,東京都,7793
2018,神奈川県,4059
2018,新潟県,850
2018,富山県,513
2018,石川県,521
2018,福井県,346
2018,山梨県,462
2018,長野県,953
2018,岐阜県,901
2018,静岡県,1743
2018,愛知県,3775
2018,三重県,824
2018,滋賀県,565
2018,京都府,1099
2018,大阪府,4045
2018,兵庫県,2073
2018,奈良県,470
2018,和歌山県,366
2018,鳥取県,250
2018,島根県,280
2018,岡山県,775
2018,広島県,1195
2018,山口県,560
2018,徳島県,334
2018,香川県,419
2018,愛媛県,591
2018,高知県,286
2018,福岡県,2327
2018,佐賀県,373
2018,長崎県,520
2018,熊本県,764
2018,大分県,496
2018,宮崎県,423
2018,鹿児島県,666
2018,沖縄県,549
2017,北海道,2917
2017,青森県,585
2017,岩手県,543
2017,宮城県,1173
2017,秋田県,476
2017,山形県,453
2017,福島県,849
2017,茨城県,1449
2017,栃木県,943
2017,群馬県,988
2017,埼玉県,3042
2017,千葉県,2871
2017,東京都,7583
2017,神奈川県,3922
2017,新潟県,947
2017,富山県,517
2017,石川県,543
2017,福井県,353
2017,山梨県,461
2017,長野県,952
2017,岐阜県,921
2017,静岡県,1774
2017,愛知県,3817
2017,三重県,824
2017,滋賀県,563
2017,京都府,1096
2017,大阪府,3987
2017,兵庫県,2068
2017,奈良県,459
2017,和歌山県,363
2017,鳥取県,235
2017,島根県,275
2017,岡山県,768
2017,広島県,1173
2017,山口県,562
2017,徳島県,339
2017,香川県,427
2017,愛媛県,591
2017,高知県,282
2017,福岡県,2273
2017,佐賀県,368
2017,長崎県,500
2017,熊本県,733
2017,大分県,481
2017,宮崎県,410
2017,鹿児島県,657
2017,沖縄県,529
2016,北海道,2881
2016,青森県,555
2016,岩手県,530
2016,宮城県,1152
2016,秋田県,463
2016,山形県,431
2016,福島県,816
2016,茨城県,1425
2016,栃木県,920
2016,群馬県,971
2016,埼玉県,2933
2016,千葉県,2768
2016,東京都,7514
2016,神奈川県,3883
2016,新潟県,937
2016,富山県,516
2016,石川県,551
2016,福井県,352
2016,山梨県,449
2016,長野県,954
2016,岐阜県,916
2016,静岡県,1743
2016,愛知県,3755
2016,三重県,817
2016,滋賀県,554
